country,variation
Afghanistan,72.0
Albania,-25.0
Algeria,4.3478
Angola,90.0
Azerbaijan,-8.3333
Argentina,4.5455
Australia,4.4788
Austria,-20.0
Bangladesh,6.8966
Armenia,-33.3333
Belgium,-2.6442
Bolivia,29.2683
Bosnia Herzegovina,-23.3333
Brazil,-10.9589
Brunei Darussalam,0.0
Bulgaria,-29.0323
Myanmar,0.0
Burundi,80.0
Belarus,-26.3636
Cambodia,-20.0
Cameroon,66.6667
Canada,2.6168
Cape Verde,0.0
Sri Lanka,0.0
Chad,71.4286
Chile,-16.4179
China,-15.544
Colombia,-8.5271
"Congo, Democratic Republic of",90.4762
Costa Rica,-7.6923
Croatia,-24.2424
Cuba,-20.0
Cyprus,-20.0
Czechia,-0.3846
Denmark,6.7055
Dominican Republic,12.5
Ecuador,10.3448
El Salvador,0.0
Ethiopia,56.6038
Estonia,-25.0
Fiji,0.0
Finland,-3.8043
France (metropolitan),-5.5328
French Guyana,0.0
French Polynesia,0.0
Georgia,-17.3913
Gaza Strip and West Bank,37.5
Germany,-17.5278
Greece,-8.2569
Guatemala,33.3333
Guinea,66.6667
Haiti,20.0
Honduras,22.2222
Hungary,-15.8273
Iceland,0.0
India,8.2397
Indonesia,5.618
Iran (Islamic Republic of),-21.3333
Iraq,56.25
Ireland,10.8911
Israel,33.6207
Italy,-13.5135
Japan,-16.4706
Kazakhstan,10.0
Jordan,33.3333
Kenya,42.8571
Korea (Democratic People Republic of),-10.0
Republic of Korea,-28.5714
Kyrgyzstan,0.0
Lao People's Democratic Republic,20.0
Lebanon,-37.5
Latvia,-25.0
Libya,0.0
Lithuania,-26.3158
Luxembourg,-8.3333
Madagascar,66.6667
Malawi,79.4118
Malaysia,-4.3478
Mali,100.0
Malta,-23.0769
Mexico,0.0
Moldova,-42.8571
Montenegro,0.0
Morocco,5.8824
Mozambique,81.25
Oman,-25.0
Namibia,14.2857
Nepal,33.3333
The Netherlands,-0.4688
New Caledonia,0.0
New Zealand,13.253
Nicaragua,11.1111
Niger,125.0
Nigeria,69.1176
Norway,4.7619
Pakistan,48.0
Panama,20.0
Papua New Guinea,57.1429
Paraguay,0.0
Peru,7.2464
Philippines,23.2558
Poland,-25.9414
Portugal,-6.9444
Puerto Rico,20.0
"France, La RÃ©union",33.3333
Romania,-13.1455
Russian Federation,-23.601
Rwanda,50.0
Saudi Arabia,0.0
Senegal,50.0
Serbia,-42.1053
Singapore,-33.3333
Slovakia,-26.25
Viet Nam,-14.2857
Slovenia,-11.2903
Somalia,100.0
South Africa,-3.1111
Zimbabwe,76.9231
Spain,-3.7915
South Sudan,66.6667
Sudan,58.3333
Sweden,6.4103
Switzerland,-8.6207
Syrian Arab Republic,100.0
Tajikistan,16.6667
Thailand,-13.7931
Togo,100.0
United Arab Emirates,-20.0
Tunisia,0.0
TÃ¼rkiye,-4.9774
Turkmenistan,14.2857
Uganda,77.7778
Ukraine,-35.7542
North Macedonia,-28.5714
Egypt,34.375
United Kingdom,-5.5046
"Tanzania, United Republic of",80.0
United States of America,4.5728
Uruguay,-4.5455
Uzbekistan,2.9412
Venezuela,28.5714
Yemen,54.5455
Zambia,80.0
